timestamp,AAPL,AMZN,MSFT
1997-10-30,0.1248813,0.25625,9.967826
1997-10-31,0.1286656,0.2541667,10.07438
1997-11-03,0.1315038,0.2536458,10.39405
1997-11-04,0.1357611,0.2479167,10.40374
1997-11-05,0.1390723,0.24375,10.35046
1997-11-06,0.1438027,0.2330729,10.23422
1997-11-07,0.1494791,0.2239583,10.19547
1997-11-10,0.1419105,0.2104167,10.08891
1997-11-11,0.1390723,0.1973958,10.12282
1997-11-12,0.1333959,0.1885417,10.01142
1997-11-13,0.1362341,0.1929688,10.19547
1997-11-14,0.1395454,0.2083333,10.33109
1997-11-17,0.1400184,0.21875,10.45217
1997-11-18,0.1367072,0.2208333,10.38436
1997-11-19,0.1381263,0.2255208,10.4667
1997-11-20,0.1400184,0.2291667,10.60716
1997-11-21,0.1376532,0.2244792,10.68466
1997-11-24,0.1333959,0.2114583,10.50061
1997-11-25,0.1315038,0.2101563,10.77184
1997-11-26,0.1324498,0.2130208,10.97042
1997-11-28,0.134342,0.20625,10.96558
1997-12-01,0.134342,0.2135417,11.14478
1997-12-02,0.1201509,0.2117188,11.0237
1997-12-03,0.1192049,0.2182292,11.21259
1997-12-04,0.1182588,0.225,11.04792
1997-12-05,0.1196779,0.2296875,11.09151
1997-12-08,0.1177858,0.2354167,11.32399
1997-12-09,0.1154206,0.234375,11.18353
1997-12-10,0.1116363,0.2255208,11.0237
1997-12-11,0.1102172,0.234375,10.77668
1997-12-12,0.1069059,0.2270833,10.59748
1997-12-15,0.1054868,0.2291667,10.54904
1997-12-16,0.108325,0.2229167,10.77668
1997-12-17,0.1054868,0.2195313,10.51029
1997-12-18,0.1045408,0.2145833,10.14219
1997-12-19,0.1035947,0.225,9.97267
1997-12-22,0.1007565,0.2348958,9.841896
1997-12-23,0.09791828,0.23125,9.556132
1997-12-24,0.09933738,0.2302084,9.217091
1997-12-26,0.1007565,0.2260417,9.357551
1997-12-29,0.09933738,0.2375,9.788618
1997-12-30,0.09981041,0.2424479,10.09376
1997-12-31,0.09933738,0.2510417,10.01626
1998-01-02,0.1229891,0.2479167,10.16156
1998-01-05,0.1201509,0.2375,10.10344
1998-01-06,0.1433297,0.2419271,10.16156
1998-01-07,0.1324498,0.2390625,10.04048
1998-01-08,0.1376532,0.2307292,10.11313
1998-01-09,0.1376532,0.2130208,9.841896
1998-01-12,0.1381263,0.2151042,10.03563
1998-01-13,0.147587,0.2322917,10.23906
1998-01-14,0.1494791,0.24375,10.16156
1998-01-15,0.1452218,0.2476563,10.25359
1998-01-16,0.1423836,0.2395833,10.48123
